protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
LDLR,fid_23578,10338,0.7058326233989214,0,0,0.7135536618266779,0,0,+,0.7058326233989214,Triglycerides in Small HDL
LDLR,fid_23497,10338,0.6930284449519288,0,0,0.7078411390721652,0,0,+,0.6930284449519288,Phospholipids in Large VLDL
LDLR,fid_23500,10338,0.6903289290522177,0,0,0.7049733190347225,0,0,+,0.6903289290522177,Free Cholesterol in Large VLDL
LDLR,fid_23491,10338,0.6822661711759647,0,0,0.6926594899567362,0,0,+,0.6822661711759647,Cholesterol in Very Large VLDL
LDLR,fid_23493,10338,0.6822569192800545,0,0,0.6952614107398777,0,0,+,0.6822569192800545,Free Cholesterol in Very Large VLDL
LDLR,fid_23488,10338,0.6812383382479927,0,0,0.7007844085971255,0,0,+,0.6812383382479927,Concentration of Very Large VLDL Particles
LDLR,fid_23515,10338,0.6800342010601482,0,0,0.6870991470611936,0,0,+,0.6800342010601482,Triglycerides in Small VLDL
LDLR,fid_23495,10338,0.6800175459700328,0,0,0.6973764486805641,0,0,+,0.6800175459700328,Concentration of Large VLDL Particles
LDLR,fid_23490,10338,0.6798017745910009,0,0,0.6957185202929466,0,0,+,0.6798017745910009,Phospholipids in Very Large VLDL
LDLR,fid_23498,10338,0.6782400451148374,0,0,0.6895432949431807,0,0,+,0.6782400451148374,Cholesterol in Large VLDL
LDLR,fid_23485,10338,0.675521164242017,0,0,0.6855999050644631,0,0,+,0.675521164242017,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
LDLR,fid_23424,10338,0.6743981507398068,0,0,0.6859436003447231,0,0,+,0.6743981507398068,Total Lipids in VLDL
LDLR,fid_23407,10338,0.673612286773608,0,0,0.6925328225681606,0,0,+,0.673612286773608,Total Triglycerides
LDLR,fid_23489,10338,0.6723770597238578,0,0,0.6923412149402414,0,0,+,0.6723770597238578,Total Lipids in Very Large VLDL
LDLR,fid_23484,10338,0.6654400198278645,0,0,0.6767424356380465,0,0,+,0.6654400198278645,Cholesterol in Chylomicrons and Extremely Large VLDL
LDLR,fid_23496,10338,0.6647765050920977,0,0,0.6838671067272116,0,0,+,0.6647765050920977,Total Lipids in Large VLDL
LDLR,fid_23412,10338,0.6644872505844606,0,0,0.6719719391575556,0,0,+,0.6644872505844606,Phospholipids in VLDL
LDLR,fid_23522,10338,0.6621519689994276,0,0,0.6651798578395789,0,0,+,0.6621519689994276,Triglycerides in Very Small VLDL
LDLR,fid_23492,10338,0.6618642812497672,0,0,0.6709800138511433,0,0,+,0.6618642812497672,Cholesteryl Esters in Very Large VLDL
LDLR,fid_23550,10338,0.6616890137097325,0,0,0.6782928753495825,0,0,+,0.6616890137097325,Triglycerides in Small LDL
LDLR,fid_23509,10338,0.660260103866829,0,0,0.6694092409501771,0,0,+,0.660260103866829,Concentration of Small VLDL Particles
LDLR,fid_23408,10338,0.6601004799197199,0,0,0.6804308956760744,0,0,+,0.6601004799197199,Triglycerides in VLDL
LDLR,fid_23508,10338,0.6571778839017675,0,0,0.6750329967826592,0,0,+,0.6571778839017675,Triglycerides in Medium VLDL
LDLR,fid_23510,10338,0.6553732784399846,0,0,0.6623705000613568,0,0,+,0.6553732784399846,Total Lipids in Small VLDL
LDLR,fid_23648,10338,0.6553203508237844,0,0,0.6553933926766248,0,0,+,0.6553203508237844,Triglycerides to Total Lipids in Small HDL percentage
LDLR,fid_23643,10338,0.6528692046756133,0,0,0.6529661448724774,0,0,+,0.6528692046756133,Triglycerides to Total Lipids in Medium HDL percentage
LDLR,fid_23499,10338,0.6481638166784595,0,0,0.6570291063304865,0,0,+,0.6481638166784595,Cholesteryl Esters in Large VLDL
LDLR,fid_23494,10338,0.647431370707734,0,0,0.6728351151280132,0,0,+,0.647431370707734,Triglycerides in Very Large VLDL
LDLR,fid_23486,10338,0.644912311196483,0,0,0.6566694845511553,0,0,+,0.644912311196483,Free Cholesterol in Chylomicrons and Extremely Large VLDL
LDLR,fid_23543,10338,0.6447803920504391,0,0,0.6533003769742262,0,0,+,0.6447803920504391,Triglycerides in Medium LDL
LDLR,fid_23435,10329,0.6423989663427072,0,0,0.6537656259954481,0,0,+,0.6423989663427072,Triglycerides to Phosphoglycerides ratio
LDLR,fid_23483,10338,0.6348967286500845,0,0,0.6496750224036852,0,0,+,0.6348967286500845,Phospholipids in Chylomicrons and Extremely Large VLDL
LDLR,fid_23420,10338,0.6345046602307449,0,0,0.6405287939380458,0,0,+,0.6345046602307449,Free Cholesterol in VLDL
