component,side,method,name,weight,abs_w,rank
2,metabolites,classic,fid_23635,59.409943033354416,59.409943033354416,1
2,metabolites,classic,fid_23411,47.59485138987574,47.59485138987574,2
2,metabolites,classic,fid_23630,45.8325445975076,45.8325445975076,3
2,metabolites,classic,fid_23610,-41.84204781289122,41.84204781289122,4
2,metabolites,classic,fid_23405,-38.99530599958669,38.99530599958669,5
2,metabolites,classic,fid_23600,-38.883318214507085,38.883318214507085,6
2,metabolites,classic,fid_23573,37.63143441530033,37.63143441530033,7
2,metabolites,classic,fid_23531,35.95113693065866,35.95113693065866,8
2,metabolites,classic,fid_23596,35.005512514405844,35.005512514405844,9
2,metabolites,classic,fid_23427,34.92656032575764,34.92656032575764,10
2,metabolites,classic,fid_23636,-34.180765539792915,34.180765539792915,11
2,metabolites,classic,fid_23626,-33.6836843452614,33.6836843452614,12
2,metabolites,classic,fid_23524,-33.590956656514464,33.590956656514464,13
2,metabolites,classic,fid_23526,33.3285989506174,33.3285989506174,14
2,metabolites,classic,fid_23598,33.30948078545175,33.30948078545175,15
2,metabolites,classic,fid_23426,-32.36377451324504,32.36377451324504,16
2,metabolites,classic,fid_23611,32.10657865508822,32.10657865508822,17
2,metabolites,classic,fid_23428,-31.794909019039558,31.794909019039558,18
2,metabolites,classic,fid_23454,31.58814179906744,31.58814179906744,19
2,metabolites,classic,fid_23632,-30.884159051688787,30.884159051688787,20
2,metabolites,classic,fid_23590,-30.788649951289102,30.788649951289102,21
2,metabolites,classic,fid_23464,30.304174714816362,30.304174714816362,22
2,metabolites,classic,fid_23627,-29.93488122456198,29.93488122456198,23
2,metabolites,classic,fid_23575,-29.52065885209307,29.52065885209307,24
2,metabolites,classic,fid_23631,-29.350562653183623,29.350562653183623,25
